,category,sha256,label,F1_totalAPICalls,F2_percentageOfFileAPICalls,F3_1_fileAPIPercentageNtReadFile,F3_2_fileAPIPercentageNtWriteFile,F3_3_fileAPIPercentageSetFilePointer,F3_4_fileAPIPercentageSetFilePointerEx,F3_5_fileAPIPercentageNtCreateFile,F3_6_fileAPIPercentageNtDeviceIoControlFile,F3_7_fileAPIPercentageGetFileAttributesExW,F3_8_fileAPIPercentageNtQueryDirectoryFile,F3_9_fileAPIPercentageFindFirstFileExW,F3_10_fileAPIPercentageNtQueryInformationFile,F3_11_fileAPIPercentageGetFileSizeEx,F3_12_fileAPIPercentageGetFileType,F3_13_fileAPIPercentageNtOpenFile,F3_14_fileAPIPercentageSetEndOfFile,F3_15_fileAPIPercentageMoveFileWithProgressW,F3_16_fileAPIPercentageSetFileAttributesW,F3_17_fileAPIPercentageDeleteFileW,F4_percentageOfUniqueFilesTouched,F5_percentageOfUniqueFileExtensionsTouched,F6_percentageOfUniqueFileLocationsTouched,F7_1_percentgeOfFileExtensionPy,F7_2_percentgeOfFileExtensionPng,F7_3_percentgeOfFileExtensionTxt,F7_4_percentgeOfFileExtensionTlc,F7_5_percentgeOfFileExtensionMsg,F7_6_percentgeOfFileExtensionExe,F7_7_percentageOfFileExtensionDll,F8_1_percentageOfFilesInDocuments,F8_2_percentageOfFilesInPictures,F8_3_percentageOfFilesInMusic,F8_4_percentageOfFilesInVideos,F8_5_percentageOfFilesInDesktop,F8_6_percentageOfFilesInDownloads,F9_APICallsPerSecond,F10_percentageOfPotentialCustomExtensionsUsed,F11_1_percentageOfFileExtensionsDocuments,F11_2_percentageOfFileExtensionsImages,F11_3_percentageOfFileExtensionsVideos,F11_4_percentageOfFileExtensionsAudio,F11_5_percentageOfFileExtensionsDatabase,F11_6_percentageOfFileExtensionsArchives,F11_7_percentageOfFileExtensionsExecutables,F11_8_percentageOfFileExtensionsSystem,F11_9_percentageOfFileExtensionsBackup,F11_10_percentageOfFileExtensionsEmail,F11_11_percentageOfFileExtensionsVMImages,F11_12_percentageOfFileExtensionsGames,F11_13_percentageOfFileExtensionsDevelopment
48,1,ReportSHA256B_games_Strategy Games_Freeciv Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,ReportSHA256B_games_Strategy Games_netPanzer Portable.exe.json,FALSE,21269,60,33,30,7,0,5,0,0,1,1,0,0,0,1,0,0,0,0,8,0,8,0,1,1,0,0,3,4,0,0,0,0,0,0,317,35,1,14,0,5,0,12,7,1,24,0,0,0,0
50,1,ReportSHA256B_games_Strategy Games_OpenTTD Portable.exe.json,FALSE,22665,52,42,39,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2,0,0,10,5,0,0,0,0,0,0,330,29,2,3,0,0,0,0,15,16,33,0,0,2,0
51,1,ReportSHA256B_games_Strategy Games_Warzone 2100 Portable.exe.json,FALSE,59108,51,64,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,10,0,0,0,0,0,0,450,5,0,1,0,0,0,0,15,0,79,0,0,0,0
52,1,ReportSHA256B_graphics_audacity-win-3.0.4-x64.exe.json,FALSE,66884,35,6,12,13,0,8,0,0,1,0,0,0,0,7,7,7,0,0,35,0,35,0,10,0,0,0,1,2,0,0,0,0,0,0,127,18,4,10,0,0,0,0,4,1,61,0,0,2,0
53,1,ReportSHA256B_graphics_Auditory_Solfege Portable.exe.json,FALSE,69303,77,27,22,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,21,13,0,0,0,2,13,0,0,0,0,0,0,1711,17,16,14,0,0,0,0,14,0,17,0,0,0,21
54,1,ReportSHA256B_graphics_blender-2.93.3-windows-x64.msi.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,ReportSHA256B_graphics_gimp-2.10.24-setup-3.exe.json,FALSE,294569,64,3,14,14,0,9,0,0,0,0,0,0,0,7,7,7,0,0,21,0,21,2,1,0,0,0,1,3,0,0,0,0,0,0,489,25,0,4,0,0,0,0,4,0,64,0,0,0,2
56,1,ReportSHA256B_graphics_HandBrake-1.4.1-x86_64-Win_GUI.exe.json,FALSE,23432,25,34,47,0,0,4,0,0,3,0,3,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,12,78,0,0,0,0,1,0,190,0,0,0,0,0,0,0,91,8,0,0,0,0,0
57,1,ReportSHA256B_graphics_phototofilm_lite.exe.json,FALSE,73118,13,49,4,15,0,5,0,0,5,5,0,0,0,1,0,0,0,0,19,2,19,0,0,0,0,0,5,12,1,0,0,0,2,0,132,43,0,0,0,0,1,0,21,6,28,0,0,1,0
58,1,ReportSHA256B_graphics_pictures_CAD (Computer-Aided Design)_FreeCAD Portable.exe.json,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,ReportSHA256B_graphics_pictures_Diagramming_Dia Portable.exe.json,FALSE,34889,65,29,19,10,0,9,0,0,0,1,1,0,0,1,0,0,0,0,10,0,10,0,33,0,0,0,0,10,0,0,0,0,0,0,1472,39,2,34,0,0,0,1,11,2,11,0,0,0,0
